what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1310992877187
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1310992877188
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1310992879050
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1310992883871
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1310992884015
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1310992884129
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1310992884146
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1310992884146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310992884427
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1310992884778
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1310992884780
error,log,,,"Unable to read /AndroidManifest.xml: java.io.FileNotFoundException: /AndroidManifest.xml (No such file or directory)",1310992887738
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1310992887815
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1310992887855
error,log,,,"Unable to read /AndroidManifest.xml: java.io.FileNotFoundException: /AndroidManifest.xml (No such file or directory)",1310992887858
error,log,,,"Unhandled event loop exception",1310992902165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310992915542
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1310992916240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310992922610
error,log,,,"Unhandled event loop exception",1310992924301
error,log,,,"Unhandled event loop exception",1310992924306
error,log,,,"Unhandled event loop exception",1310992954166
error,log,,,"Unhandled event loop exception",1310992954170
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310992971695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310992980360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993013271
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1310993013297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993024604
error,log,,,"Unhandled event loop exception",1310993047050
error,log,,,"New Project Wizard failed",1310993049860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993052392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993057647
error,log,,,"New Project Wizard failed",1310993065702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993076563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993085852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993157896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1310993157919
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1310993157919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993163392
error,log,,,"New Project Wizard failed",1310993192530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993194300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993206855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993258773
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993272507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993316911
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1310993316938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1310993316938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993326024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993565084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310993568323
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1310993583487
